,estimate,se,n,tstat,fstat,pvalue,df,fdr
ENSG00000125968,-0.037211844,0.17665426,34,-0.210647871,0.044372526,0.834497691,32,0.972765825
ENSG00000124785,0.036857106,0.176656584,34,0.208637034,0.043529412,0.836053977,32,0.973201945
ENSG00000065325,0.036552784,0.17665856,34,0.206912044,0.042812594,0.837389568,32,0.973530119
ENSG00000100351,0.036293653,0.176660229,34,0.205443257,0.042206932,0.838527179,32,0.973770276
ENSG00000150907,0.036074206,0.176661634,34,0.204199433,0.041697409,0.839490826,32,0.974069125
ENSG00000148677,0.035599345,0.176664644,34,0.201508032,0.040605487,0.84157684,32,0.974571186
ENSG00000114771,-0.035446051,0.176665607,34,-0.200639229,0.0402561,0.842250469,32,0.974741884
ENSG00000170442,0.035226609,0.176666979,34,0.199395548,0.039758584,0.843214972,32,0.975103577
ENSG00000110484,0.03384646,0.17667541,34,0.191574255,0.036700695,0.849286147,32,0.976592887
ENSG00000113389,-0.033678227,0.176676415,34,-0.190620955,0.036336349,0.850026782,32,0.97674638
ENSG00000078898,0.03168193,0.176687954,34,0.179310074,0.032152103,0.858824797,32,0.977383298
ENSG00000109610,0.030686598,0.176693443,34,0.173671404,0.030161757,0.863217702,32,0.977383298
ENSG00000115008,-0.025056169,0.176721195,34,-0.141783613,0.020102593,0.888139815,32,0.977383298
ENSG00000120341,0.030401581,0.176694983,34,0.172056846,0.029603558,0.864476375,32,0.977383298
ENSG00000131951,0.025285123,0.176720176,34,0.143080001,0.020471887,0.887124171,32,0.977383298
ENSG00000135925,-0.029274332,0.176700931,34,-0.165671636,0.027447091,0.869457639,32,0.977383298
ENSG00000164683,0.032603554,0.176682714,34,0.184531659,0.034051933,0.854760904,32,0.977383298
ENSG00000166664,-0.028153865,0.176706621,34,-0.159325465,0.025384604,0.874413829,32,0.977383298
ENSG00000167244,0.030968122,0.176691908,34,0.175266214,0.030718246,0.861974782,32,0.977383298
ENSG00000172348,0.025796751,0.176717866,34,0.145977041,0.021309296,0.884855216,32,0.977383298
ENSG00000184922,-0.025420817,0.176719568,34,-0.143848343,0.020692346,0.886522312,32,0.977383298
ENSG00000186832,-0.029059643,0.176702039,34,-0.164455619,0.02704565,0.870406907,32,0.977383298
ENSG00000189280,0.02515753,0.176720745,34,0.142357539,0.020265669,0.887690154,32,0.977383298
ENSG00000275591,-0.030880474,0.176692388,34,-0.174769689,0.030544444,0.862361712,32,0.977383298
ENSG00000159217,0.02434692,0.176724293,34,0.137767814,0.018979971,0.891287169,32,0.977417923
ENSG00000095303,-0.023025029,0.17672983,34,-0.130283771,0.016973861,0.897157486,32,0.978540532
ENSG00000130433,-0.022753452,0.176730929,34,-0.128746291,0.016575608,0.898364193,32,0.978647939
ENSG00000176907,0.021070923,0.176737448,34,0.11922161,0.014213792,0.905845113,32,0.979965411
ENSG00000122176,0.020602394,0.176739174,34,0.116569479,0.013588444,0.907929751,32,0.980388255
ENSG00000143368,-0.019237634,0.176743981,34,-0.108844635,0.011847155,0.914005394,32,0.980770827
ENSG00000184988,-0.019377065,0.176743505,34,-0.109633814,0.012019573,0.913384452,32,0.980770827
ENSG00000010438,-0.018901071,0.176745116,34,-0.106939706,0.011436101,0.915504459,32,0.98108173
ENSG00000142661,0.017446015,0.176749791,34,0.098704587,0.009742595,0.921988551,32,0.98235637
ENSG00000127903,-0.016543361,0.176752503,34,-0.09359619,0.008760247,0.926013514,32,0.983370552
ENSG00000075340,-0.016418477,0.176752867,34,-0.092889453,0.008628451,0.926570518,32,0.983402849
ENSG00000065675,0.016218906,0.176753443,34,0.091760059,0.008419908,0.927460712,32,0.983415895
ENSG00000109956,0.015817773,0.176754579,34,0.089490031,0.008008466,0.929250246,32,0.983831479
ENSG00000133083,-0.015629099,0.176755103,34,-0.088422336,0.007818509,0.930092074,32,0.984127721
ENSG00000082074,0.014804233,0.176757323,34,0.083754566,0.007014827,0.933773341,32,0.984680502
ENSG00000269096,-0.014537722,0.176758014,34,-0.082246466,0.006764481,0.934963035,32,0.984999985
ENSG00000118971,0.013513117,0.176760554,34,0.076448714,0.005844406,0.939538096,32,0.985898871
ENSG00000136167,-0.013412912,0.176760793,34,-0.075881715,0.005758035,0.939985635,32,0.986043397
ENSG00000145681,0.012592642,0.176762679,34,0.071240386,0.005075193,0.943649825,32,0.986531714
ENSG00000164167,0.011781934,0.176764425,34,0.066653308,0.004442664,0.947272413,32,0.987778493
ENSG00000165694,-0.011087727,0.176765829,34,-0.06272551,0.00393449,0.950375255,32,0.988324197
ENSG00000173988,-0.010903077,0.176766188,34,-0.061680784,0.003804519,0.951200691,32,0.988396098
ENSG00000175471,0.010782737,0.176766418,34,0.060999915,0.00372099,0.951738674,32,0.988396098
ENSG00000162670,-0.010390021,0.176767153,34,-0.058778007,0.003454854,0.953494456,32,0.989077813
ENSG00000101445,-0.010029551,0.176767804,34,-0.056738561,0.003219264,0.955106262,32,0.989472659
ENSG00000106538,0.007864855,0.176771228,34,0.044491712,0.001979512,0.964788943,32,0.99106076
ENSG00000206075,0.007689275,0.176771469,34,0.043498395,0.00189211,0.965574544,32,0.991350127
ENSG00000169435,-0.007318182,0.176771962,34,-0.041398996,0.001713877,0.967235045,32,0.991628034
ENSG00000170381,0.00640686,0.176773067,34,0.036243418,0.001313585,0.971313419,32,0.992327029
ENSG00000182583,-0.006190012,0.176773309,34,-0.035016668,0.001226167,0.972283972,32,0.992581299
ENSG00000187908,-0.006178529,0.176773321,34,-0.034951704,0.001221622,0.97233537,32,0.992581299
ENSG00000180353,0.005920104,0.176773597,34,0.033489753,0.001121564,0.973492064,32,0.993185493
ENSG00000023171,0.003114658,0.176775838,34,0.017619254,0.000310438,0.986051997,32,0.996914453
ENSG00000165935,0.002859021,0.176775973,34,0.016173129,0.00026157,0.987196692,32,0.996914453
ENSG00000109667,0.002839308,0.176775983,34,0.016061618,0.000257976,0.98728496,32,0.996919052
ENSG00000170370,-0.001877148,0.176776384,34,-0.010618769,0.000112758,0.991593534,32,0.997861075
ENSG00000103184,0.001590088,0.176776472,34,0.008994908,8.09E-05,0.992879043,32,0.998090295
ENSG00000062524,-0.000987683,0.176776609,34,-0.005587179,3.12E-05,0.995576786,32,0.998484306
